instance,ants,iter,algorithm,key,dist,opt,gap_pct,time_ms,mem_kb,bf_hit_rate
A-n32-k5,10,100,ACO,none,847.52,784,8.10,11,4,NaN
A-n32-k5,10,100,MMAS,none,848.65,784,8.25,12,4,NaN
A-n32-k5,10,100,ACO+2opt,none,835.35,784,6.55,15,12288,NaN
A-n32-k5,10,100,ACO+Tabu,none,909.04,784,15.95,292,135198,NaN
A-n32-k5,10,100,ACO+BF,EDGE,856.45,784,9.24,30,20490,0.2953
A-n32-k5,10,100,ACO+BF,EDGE_LOAD,917.08,784,16.97,31,16392,0.2500
A-n32-k5,10,100,ACO+BF,DEST_LOAD,901.96,784,15.05,27,28676,0.6746
A-n32-k5,10,100,ACO+BF,DEST_ONLY,846.84,784,8.02,20,8,1.0000
A-n32-k5,10,100,MMAS+BF,EDGE,910.58,784,16.15,33,24582,0.3163
A-n32-k5,10,100,MMAS+BF,EDGE_LOAD,915.98,784,16.83,27,16392,0.2650
A-n32-k5,10,100,MMAS+BF,DEST_LOAD,842.24,784,7.43,24,24580,0.6546
A-n32-k5,10,100,MMAS+BF,DEST_ONLY,842.35,784,7.44,17,8198,0.8955
A-n32-k5,10,200,ACO,none,847.52,784,8.10,15,4100,NaN
A-n32-k5,10,200,MMAS,none,879.23,784,12.15,16,4,NaN
A-n32-k5,10,200,ACO+2opt,none,835.35,784,6.55,20,12292,NaN
A-n32-k5,10,200,ACO+Tabu,none,900.64,784,14.88,317,53260,NaN
A-n32-k5,10,200,ACO+BF,EDGE,856.45,784,9.24,43,45062,0.2902
A-n32-k5,10,200,ACO+BF,EDGE_LOAD,917.08,784,16.97,48,4,0.2614
A-n32-k5,10,200,ACO+BF,DEST_LOAD,901.96,784,15.05,43,86024,0.6654
A-n32-k5,10,200,ACO+BF,DEST_ONLY,842.54,784,7.47,42,36872,1.0000
A-n32-k5,10,200,MMAS+BF,EDGE,839.27,784,7.05,45,4100,0.3539
A-n32-k5,10,200,MMAS+BF,EDGE_LOAD,843.31,784,7.57,44,24584,0.2690
A-n32-k5,10,200,MMAS+BF,DEST_LOAD,839.27,784,7.05,54,77828,0.6742
A-n32-k5,10,200,MMAS+BF,DEST_ONLY,840.35,784,7.19,41,36870,0.9718
A-n32-k5,10,300,ACO,none,847.52,784,8.10,25,6,NaN
A-n32-k5,10,300,MMAS,none,849.90,784,8.41,24,16388,NaN
A-n32-k5,10,300,ACO+2opt,none,835.35,784,6.55,25,4102,NaN
A-n32-k5,10,300,ACO+Tabu,none,839.45,784,7.07,471,131084,NaN
A-n32-k5,10,300,ACO+BF,EDGE,856.45,784,9.24,63,90118,0.2872
A-n32-k5,10,300,ACO+BF,EDGE_LOAD,917.08,784,16.97,74,57348,0.2610
A-n32-k5,10,300,ACO+BF,DEST_LOAD,901.96,784,15.05,67,61444,0.6621
A-n32-k5,10,300,ACO+BF,DEST_ONLY,842.54,784,7.47,62,24582,1.0000
A-n32-k5,10,300,MMAS+BF,EDGE,839.27,784,7.05,65,24584,0.3617
A-n32-k5,10,300,MMAS+BF,EDGE_LOAD,838.70,784,6.98,74,126984,0.2984
A-n32-k5,10,300,MMAS+BF,DEST_LOAD,839.27,784,7.05,65,86020,0.6815
A-n32-k5,10,300,MMAS+BF,DEST_ONLY,829.44,784,5.80,59,90116,0.9780
A-n32-k5,20,100,ACO,none,933.26,784,19.04,15,16384,NaN
A-n32-k5,20,100,MMAS,none,846.30,784,7.95,15,4,NaN
A-n32-k5,20,100,ACO+2opt,none,833.97,784,6.37,18,12294,NaN
A-n32-k5,20,100,ACO+Tabu,none,838.84,784,6.99,302,57350,NaN
A-n32-k5,20,100,ACO+BF,EDGE,883.76,784,12.72,37,36868,0.3610
A-n32-k5,20,100,ACO+BF,EDGE_LOAD,852.03,784,8.68,46,4102,0.2730
A-n32-k5,20,100,ACO+BF,DEST_LOAD,898.93,784,14.66,42,10,0.7941
A-n32-k5,20,100,ACO+BF,DEST_ONLY,905.30,784,15.47,40,69636,1.0000
A-n32-k5,20,100,MMAS+BF,EDGE,851.69,784,8.63,31,40964,0.3678
A-n32-k5,20,100,MMAS+BF,EDGE_LOAD,843.54,784,7.59,35,8198,0.2757
A-n32-k5,20,100,MMAS+BF,DEST_LOAD,856.51,784,9.25,33,4102,0.7337
A-n32-k5,20,100,MMAS+BF,DEST_ONLY,842.39,784,7.45,30,53256,0.8868
A-n32-k5,20,200,ACO,none,926.90,784,18.23,30,8202,NaN
A-n32-k5,20,200,MMAS,none,835.60,784,6.58,29,24580,NaN
A-n32-k5,20,200,ACO+2opt,none,833.97,784,6.37,35,4104,NaN
A-n32-k5,20,200,ACO+Tabu,none,814.84,784,3.93,610,131080,NaN
A-n32-k5,20,200,ACO+BF,EDGE,883.76,784,12.72,77,8202,0.3546
A-n32-k5,20,200,ACO+BF,EDGE_LOAD,852.03,784,8.68,96,126982,0.2693
A-n32-k5,20,200,ACO+BF,DEST_LOAD,898.93,784,14.66,85,73736,0.7848
A-n32-k5,20,200,ACO+BF,DEST_ONLY,905.30,784,15.47,77,28684,1.0000
A-n32-k5,20,200,MMAS+BF,EDGE,844.09,784,7.66,66,28676,0.3861
A-n32-k5,20,200,MMAS+BF,EDGE_LOAD,831.74,784,6.09,92,151556,0.2894
A-n32-k5,20,200,MMAS+BF,DEST_LOAD,839.27,784,7.05,75,110596,0.7635
A-n32-k5,20,200,MMAS+BF,DEST_ONLY,843.00,784,7.53,72,98308,0.9420
A-n32-k5,20,300,ACO,none,926.90,784,18.23,43,12300,NaN
A-n32-k5,20,300,MMAS,none,839.88,784,7.13,44,45060,NaN
A-n32-k5,20,300,ACO+2opt,none,833.97,784,6.37,50,49156,NaN
A-n32-k5,20,300,ACO+Tabu,none,814.84,784,3.93,910,118792,NaN
A-n32-k5,20,300,ACO+BF,EDGE,883.76,784,12.72,119,57354,0.3519
A-n32-k5,20,300,ACO+BF,EDGE_LOAD,852.03,784,8.68,141,65548,0.2669
A-n32-k5,20,300,ACO+BF,DEST_LOAD,898.93,784,14.66,130,36874,0.7795
A-n32-k5,20,300,ACO+BF,DEST_ONLY,905.30,784,15.47,112,163850,1.0000
A-n32-k5,20,300,MMAS+BF,EDGE,837.26,784,6.79,111,102412,0.4180
A-n32-k5,20,300,MMAS+BF,EDGE_LOAD,838.23,784,6.92,135,102404,0.3143
