iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1188.6827,1188.6827,0.0002,486.19
5,1092.2491,1072.8389,0.0016,471.57
10,1104.9082,1057.0278,0.0030,456.98
15,1095.2348,1043.9756,0.0039,471.36
20,1086.7115,1040.7863,0.0048,456.01
25,1084.7097,1035.5093,0.0056,441.37
30,1093.9463,1032.9414,0.0064,455.60
35,1091.2415,1031.3930,0.0072,440.09
40,1091.7693,1029.3114,0.0080,425.66
45,1084.0573,1027.4336,0.0089,410.56
50,1081.7533,1024.7133,0.0097,424.79
55,1083.3012,1023.5432,0.0105,409.62
60,1084.9575,1022.8151,0.0113,423.83
65,1084.8570,1021.9500,0.0121,438.17
70,1092.0819,1021.1990,0.0129,452.49
75,1086.1963,1020.4933,0.0136,466.63
80,1086.1311,1019.8412,0.0144,480.82
85,1081.2736,1018.8066,0.0152,495.42
90,1083.0762,1018.4777,0.0160,480.05
95,1074.1152,1017.2750,0.0168,465.05
100,1089.2074,1016.3096,0.0174,476.52
