iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1133.1509,1133.1509,0.0032,431.89
5,1069.3885,1039.7699,0.0192,448.94
10,1066.9921,1022.2760,0.0352,465.67
15,1060.3587,1013.2187,0.0512,452.68
20,1054.8996,1008.7754,0.0673,440.17
25,1053.0296,1003.5897,0.0833,457.37
30,1050.9338,999.3492,0.0994,444.74
35,1054.6938,997.0878,0.1155,491.22
40,1060.9630,993.7588,0.1315,449.30
45,1045.8375,991.3040,0.1475,495.89
50,1053.3266,990.2169,0.1637,454.97
55,1048.2729,990.1450,0.1797,413.28
60,1055.5178,989.7165,0.1957,459.80
65,1046.5884,987.8142,0.2118,447.60
70,1054.5245,987.3607,0.2277,465.14
75,1047.5965,987.0988,0.2438,452.41
80,1053.1337,987.0988,0.2598,469.45
85,1053.3398,987.0988,0.2758,457.77
90,1053.0034,986.2624,0.2918,474.95
95,1057.9699,984.3071,0.3078,462.65
100,1052.7115,983.9802,0.3207,465.34
