iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,609644.8011,609644.8011,0.0819,1435.86
5,601965.4955,601138.3601,0.4920,1459.62
10,599863.7352,598661.6505,0.9047,1571.31
15,599377.5143,597612.6106,1.3108,1423.71
20,598387.5113,596437.9493,1.7138,1468.12
25,597300.9699,595614.8940,2.1162,1496.34
30,596780.3905,594978.5272,2.5186,1375.78
35,596223.8190,594392.1458,2.9215,1439.87
40,596242.3440,594105.3914,3.3220,1400.93
45,595673.2557,593240.7449,3.7236,1559.25
50,594516.8749,592644.1993,4.1251,1383.51
55,594578.3450,592275.1311,4.5259,1391.26
60,594716.7989,592106.2458,4.9270,1252.85
65,594184.6435,591945.9354,5.3277,1520.93
70,594430.1630,591694.8817,5.7290,1473.95
75,594485.7421,591550.4072,6.1301,1393.48
80,594457.9216,591380.8348,6.5320,1410.76
85,594058.3966,591231.5829,6.9329,1428.19
90,594554.8355,591097.3472,7.3340,1386.48
95,594317.0120,590995.6838,7.7366,1411.27
100,594491.0032,590983.6328,8.0578,1408.71
