iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,12248.2899,12248.2899,0.0004,458.38
5,9084.1976,9044.5316,0.0023,448.31
10,8841.9950,8680.8700,0.0043,467.34
15,8728.2550,8404.2436,0.0063,457.35
20,8623.4261,8308.2418,0.0083,446.84
25,8497.9939,8178.6102,0.0103,466.54
30,8463.5733,8108.9708,0.0123,456.45
35,8460.6630,8044.4014,0.0143,475.51
40,8506.3132,8017.7804,0.0164,465.36
45,8371.6793,7993.8173,0.0184,455.54
50,8330.7769,7970.9289,0.0204,474.30
55,8407.6326,7944.1151,0.0224,464.22
60,8392.0879,7939.5193,0.0244,454.01
65,8341.4746,7875.2906,0.0264,472.89
70,8322.9699,7854.9118,0.0285,434.09
75,8423.4942,7851.4133,0.0305,424.04
80,8382.3622,7828.6870,0.0325,442.95
85,8356.2953,7812.9557,0.0345,432.82
90,8309.5904,7810.6515,0.0365,451.88
95,8360.2032,7783.7711,0.0385,441.49
100,8324.9454,7780.8483,0.0401,451.06
