iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,9910.2432,9910.2432,0.0293,179.91
5,8114.8117,7999.9611,0.1538,192.70
10,7935.9458,7761.1758,0.2723,183.04
15,7873.6174,7662.4624,0.3915,172.97
20,7834.3987,7594.2130,0.5108,172.62
25,7820.1066,7550.8108,0.6391,181.96
30,7747.2829,7498.4845,0.7578,190.38
35,7792.9778,7474.6692,0.8779,189.04
40,7792.8345,7462.9224,0.9953,177.15
45,7758.9843,7428.5354,1.1135,164.95
50,7706.0407,7394.3366,1.2344,173.04
55,7721.0967,7384.9101,1.3568,191.29
60,7680.6937,7368.6066,1.4769,178.87
65,7726.6444,7358.5527,1.6003,166.70
70,7748.7601,7349.6711,1.7178,164.81
75,7705.6425,7342.3355,1.8359,182.62
80,7691.9145,7333.2352,1.9550,190.12
85,7735.4965,7333.2352,2.0734,188.19
90,7755.7384,7325.7822,2.1917,176.04
95,7742.0366,7325.7822,2.3103,164.37
100,7690.0629,7317.1668,2.4047,170.64
