iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,655341.2741,655341.2741,0.2954,972.20
5,651571.9592,647347.1983,1.7225,1036.03
10,647678.2489,644854.3616,3.1442,1066.20
15,647317.6753,642906.9117,4.5645,1005.12
20,643699.2854,640588.3758,5.9854,1032.26
25,642020.8853,638845.5929,7.4067,1109.62
30,639007.4775,635352.4940,8.8326,1008.22
35,635442.3065,632323.0596,10.2541,1045.81
40,634665.7031,630431.4420,11.6751,1126.71
45,630981.3387,627400.7136,13.0960,1118.45
50,629049.8245,626172.5472,14.5176,1025.14
55,627704.6798,624314.0610,15.9392,1017.30
60,627275.8030,622870.1229,17.3611,1103.64
65,627509.7465,622181.2344,18.7840,1049.32
70,625336.6741,621418.4444,20.2043,1133.95
75,626559.9997,620637.3167,21.6268,1171.88
80,626306.4745,619906.5972,23.0495,1126.28
85,625898.8401,619643.6677,24.4704,1165.50
90,626148.8476,619529.3619,25.8944,1251.22
95,625411.4027,619342.6377,27.3177,1119.59
100,625387.8517,618915.8276,28.4578,1174.22
