iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1523.7906,1523.7906,0.0576,660.17
5,1425.1448,1408.7826,0.3474,726.67
10,1420.9717,1387.9747,0.6372,641.88
15,1419.5525,1380.4354,0.9268,658.57
20,1415.4294,1376.5626,1.2156,674.21
25,1408.1831,1373.7900,1.5039,688.86
30,1406.3130,1370.9841,1.7930,701.18
35,1410.6882,1369.9431,2.0814,675.62
40,1407.4159,1368.8144,2.3701,687.36
45,1410.6242,1366.5446,2.6590,662.04
50,1402.7348,1366.5446,2.9474,671.80
55,1406.3811,1365.1090,3.2377,678.45
60,1404.4870,1364.4404,3.5274,719.59
65,1405.5683,1364.4404,3.8167,687.54
70,1401.9172,1364.4088,4.1054,654.60
75,1403.0163,1362.9421,4.3935,691.57
80,1401.3090,1362.9421,4.6813,691.39
85,1402.5496,1361.0762,4.9693,725.77
90,1403.6861,1361.0762,5.2573,687.75
95,1410.3877,1361.0762,5.5457,649.62
100,1408.0894,1361.0762,5.7757,638.67
