iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,996.9683,996.9683,0.0013,150.70
5,986.9387,948.1668,0.0065,151.70
10,975.1526,925.9776,0.0112,153.29
15,976.4477,920.7149,0.0160,145.46
20,978.7569,911.9135,0.0206,155.69
25,980.8165,908.1598,0.0253,147.67
30,980.8666,902.9507,0.0298,159.20
35,978.4051,900.8849,0.0344,151.22
40,981.6190,900.8183,0.0390,152.95
45,973.8168,894.0891,0.0435,154.78
50,978.7442,893.3683,0.0481,147.42
55,978.3669,890.8916,0.0526,148.82
60,979.1473,889.8725,0.0571,150.36
65,973.7409,888.7393,0.0616,162.52
70,977.9014,886.9086,0.0661,144.69
75,979.5944,886.9086,0.0705,155.96
80,975.6245,884.5554,0.0749,148.19
85,979.5944,884.5554,0.0792,159.56
90,987.1779,883.5710,0.0835,151.69
95,974.1497,881.8309,0.0878,153.18
100,984.0690,880.0962,0.0912,153.01
